Series ID,Series Label,Year,Period,Period Name,Value,Percent Change (1),Percent Change (12),Date
CES0500000003,AverageHourlyEarnings,2006,M03,March,20.05,,,2006-03-01
CES0500000003,AverageHourlyEarnings,2006,M04,April,20.15,0.5,,2006-04-01
CES0500000003,AverageHourlyEarnings,2006,M05,May,20.13,-0.1,,2006-05-01
CES0500000003,AverageHourlyEarnings,2006,M06,June,20.23,0.5,,2006-06-01
CES0500000003,AverageHourlyEarnings,2006,M07,July,20.29,0.3,,2006-07-01
CES0500000003,AverageHourlyEarnings,2006,M08,August,20.32,0.1,,2006-08-01
CES0500000003,AverageHourlyEarnings,2006,M09,September,20.41,0.4,,2006-09-01
CES0500000003,AverageHourlyEarnings,2006,M10,October,20.43,0.1,,2006-10-01
CES0500000003,AverageHourlyEarnings,2006,M11,November,20.49,0.3,,2006-11-01
CES0500000003,AverageHourlyEarnings,2006,M12,December,20.57,0.4,,2006-12-01
CES0500000003,AverageHourlyEarnings,2007,M01,January,20.59,0.1,,2007-01-01
CES0500000003,AverageHourlyEarnings,2007,M02,February,20.68,0.4,,2007-02-01
CES0500000003,AverageHourlyEarnings,2007,M03,March,20.73,0.2,3.4,2007-03-01
CES0500000003,AverageHourlyEarnings,2007,M04,April,20.78,0.2,3.1,2007-04-01
CES0500000003,AverageHourlyEarnings,2007,M05,May,20.84,0.3,3.5,2007-05-01
CES0500000003,AverageHourlyEarnings,2007,M06,June,20.95,0.5,3.6,2007-06-01
CES0500000003,AverageHourlyEarnings,2007,M07,July,20.95,0.0,3.3,2007-07-01
CES0500000003,AverageHourlyEarnings,2007,M08,August,21.0,0.2,3.3,2007-08-01
CES0500000003,AverageHourlyEarnings,2007,M09,September,21.04,0.2,3.1,2007-09-01
CES0500000003,AverageHourlyEarnings,2007,M10,October,21.06,0.1,3.1,2007-10-01
CES0500000003,AverageHourlyEarnings,2007,M11,November,21.12,0.3,3.1,2007-11-01
CES0500000003,AverageHourlyEarnings,2007,M12,December,21.17,0.2,2.9,2007-12-01
CES0500000003,AverageHourlyEarnings,2008,M01,January,21.2,0.1,3.0,2008-01-01
CES0500000003,AverageHourlyEarnings,2008,M02,February,21.26,0.3,2.8,2008-02-01
CES0500000003,AverageHourlyEarnings,2008,M03,March,21.36,0.5,3.0,2008-03-01
CES0500000003,AverageHourlyEarnings,2008,M04,April,21.38,0.1,2.9,2008-04-01
CES0500000003,AverageHourlyEarnings,2008,M05,May,21.47,0.4,3.0,2008-05-01
CES0500000003,AverageHourlyEarnings,2008,M06,June,21.51,0.2,2.7,2008-06-01
CES0500000003,AverageHourlyEarnings,2008,M07,July,21.6,0.4,3.1,2008-07-01
CES0500000003,AverageHourlyEarnings,2008,M08,August,21.7,0.5,3.3,2008-08-01
CES0500000003,AverageHourlyEarnings,2008,M09,September,21.72,0.1,3.2,2008-09-01
CES0500000003,AverageHourlyEarnings,2008,M10,October,21.76,0.2,3.3,2008-10-01
CES0500000003,AverageHourlyEarnings,2008,M11,November,21.87,0.5,3.6,2008-11-01
CES0500000003,AverageHourlyEarnings,2008,M12,December,21.94,0.3,3.6,2008-12-01
CES0500000003,AverageHourlyEarnings,2009,M01,January,21.96,0.1,3.6,2009-01-01
CES0500000003,AverageHourlyEarnings,2009,M02,February,21.99,0.1,3.4,2009-02-01
CES0500000003,AverageHourlyEarnings,2009,M03,March,22.06,0.3,3.3,2009-03-01
CES0500000003,AverageHourlyEarnings,2009,M04,April,22.09,0.1,3.3,2009-04-01
CES0500000003,AverageHourlyEarnings,2009,M05,May,22.11,0.1,3.0,2009-05-01
CES0500000003,AverageHourlyEarnings,2009,M06,June,22.14,0.1,2.9,2009-06-01
CES0500000003,AverageHourlyEarnings,2009,M07,July,22.18,0.2,2.7,2009-07-01
CES0500000003,AverageHourlyEarnings,2009,M08,August,22.23,0.2,2.4,2009-08-01
CES0500000003,AverageHourlyEarnings,2009,M09,September,22.27,0.2,2.5,2009-09-01
CES0500000003,AverageHourlyEarnings,2009,M10,October,22.3,0.1,2.5,2009-10-01
CES0500000003,AverageHourlyEarnings,2009,M11,November,22.35,0.2,2.2,2009-11-01
CES0500000003,AverageHourlyEarnings,2009,M12,December,22.36,0.0,1.9,2009-12-01
CES0500000003,AverageHourlyEarnings,2010,M01,January,22.41,0.2,2.0,2010-01-01
CES0500000003,AverageHourlyEarnings,2010,M02,February,22.45,0.2,2.1,2010-02-01
CES0500000003,AverageHourlyEarnings,2010,M03,March,22.46,0.0,1.8,2010-03-01
CES0500000003,AverageHourlyEarnings,2010,M04,April,22.49,0.1,1.8,2010-04-01
CES0500000003,AverageHourlyEarnings,2010,M05,May,22.53,0.2,1.9,2010-05-01
CES0500000003,AverageHourlyEarnings,2010,M06,June,22.53,0.0,1.8,2010-06-01
