Series ID,Series Label,Year,Period,Period Name,Value,Percent Change (1),Percent Change (12),Date
CUUR0000SA0,CPI_AllItems,1998,M01,January,161.6,0.2,1.6,1/1/98
CUUR0000SA0,CPI_AllItems,1998,M02,February,161.9,0.2,1.4,2/1/98
CUUR0000SA0,CPI_AllItems,1998,M03,March,162.2,0.2,1.4,3/1/98
CUUR0000SA0,CPI_AllItems,1998,M04,April,162.5,0.2,1.4,4/1/98
CUUR0000SA0,CPI_AllItems,1998,M05,May,162.8,0.2,1.7,5/1/98
CUUR0000SA0,CPI_AllItems,1998,M06,June,163,0.1,1.7,6/1/98
CUUR0000SA0,CPI_AllItems,1998,M07,July,163.2,0.1,1.7,7/1/98
CUUR0000SA0,CPI_AllItems,1998,M08,August,163.4,0.1,1.6,8/1/98
CUUR0000SA0,CPI_AllItems,1998,M09,September,163.6,0.1,1.5,9/1/98
CUUR0000SA0,CPI_AllItems,1998,M10,October,164,0.2,1.5,10/1/98
CUUR0000SA0,CPI_AllItems,1998,M11,November,164,0,1.5,11/1/98
CUUR0000SA0,CPI_AllItems,1998,M12,December,163.9,-0.1,1.6,12/1/98
CUUR0000SA0,CPI_AllItems,1999,M01,January,164.3,0.2,1.7,1/1/99
CUUR0000SA0,CPI_AllItems,1999,M02,February,164.5,0.1,1.6,2/1/99
CUUR0000SA0,CPI_AllItems,1999,M03,March,165,0.3,1.7,3/1/99
CUUR0000SA0,CPI_AllItems,1999,M04,April,166.2,0.7,2.3,4/1/99
CUUR0000SA0,CPI_AllItems,1999,M05,May,166.2,0,2.1,5/1/99
CUUR0000SA0,CPI_AllItems,1999,M06,June,166.2,0,2,6/1/99
CUUR0000SA0,CPI_AllItems,1999,M07,July,166.7,0.3,2.1,7/1/99
CUUR0000SA0,CPI_AllItems,1999,M08,August,167.1,0.2,2.3,8/1/99
CUUR0000SA0,CPI_AllItems,1999,M09,September,167.9,0.5,2.6,9/1/99
CUUR0000SA0,CPI_AllItems,1999,M10,October,168.2,0.2,2.6,10/1/99
CUUR0000SA0,CPI_AllItems,1999,M11,November,168.3,0.1,2.6,11/1/99
CUUR0000SA0,CPI_AllItems,1999,M12,December,168.3,0,2.7,12/1/99
CUUR0000SA0,CPI_AllItems,2000,M01,January,168.8,0.3,2.7,1/1/00
CUUR0000SA0,CPI_AllItems,2000,M02,February,169.8,0.6,3.2,2/1/00
CUUR0000SA0,CPI_AllItems,2000,M03,March,171.2,0.8,3.8,3/1/00
CUUR0000SA0,CPI_AllItems,2000,M04,April,171.3,0.1,3.1,4/1/00
CUUR0000SA0,CPI_AllItems,2000,M05,May,171.5,0.1,3.2,5/1/00
CUUR0000SA0,CPI_AllItems,2000,M06,June,172.4,0.5,3.7,6/1/00
CUUR0000SA0,CPI_AllItems,2000,M07,July,172.8,0.2,3.7,7/1/00
CUUR0000SA0,CPI_AllItems,2000,M08,August,172.8,0,3.4,8/1/00
CUUR0000SA0,CPI_AllItems,2000,M09,September,173.7,0.5,3.5,9/1/00
CUUR0000SA0,CPI_AllItems,2000,M10,October,174,0.2,3.4,10/1/00
CUUR0000SA0,CPI_AllItems,2000,M11,November,174.1,0.1,3.4,11/1/00
CUUR0000SA0,CPI_AllItems,2000,M12,December,174,-0.1,3.4,12/1/00
CUUR0000SA0,CPI_AllItems,2001,M01,January,175.1,0.6,3.7,1/1/01
CUUR0000SA0,CPI_AllItems,2001,M02,February,175.8,0.4,3.5,2/1/01
CUUR0000SA0,CPI_AllItems,2001,M03,March,176.2,0.2,2.9,3/1/01
CUUR0000SA0,CPI_AllItems,2001,M04,April,176.9,0.4,3.3,4/1/01
CUUR0000SA0,CPI_AllItems,2001,M05,May,177.7,0.5,3.6,5/1/01
CUUR0000SA0,CPI_AllItems,2001,M06,June,178,0.2,3.2,6/1/01
CUUR0000SA0,CPI_AllItems,2001,M07,July,177.5,-0.3,2.7,7/1/01
CUUR0000SA0,CPI_AllItems,2001,M08,August,177.5,0,2.7,8/1/01
CUUR0000SA0,CPI_AllItems,2001,M09,September,178.3,0.5,2.6,9/1/01
CUUR0000SA0,CPI_AllItems,2001,M10,October,177.7,-0.3,2.1,10/1/01
CUUR0000SA0,CPI_AllItems,2001,M11,November,177.4,-0.2,1.9,11/1/01
CUUR0000SA0,CPI_AllItems,2001,M12,December,176.7,-0.4,1.6,12/1/01
CUUR0000SA0,CPI_AllItems,2002,M01,January,177.1,0.2,1.1,1/1/02
CUUR0000SA0,CPI_AllItems,2002,M02,February,177.8,0.4,1.1,2/1/02
CUUR0000SA0,CPI_AllItems,2002,M03,March,178.8,0.6,1.5,3/1/02
CUUR0000SA0,CPI_AllItems,2002,M04,April,179.8,0.6,1.6,4/1/02
CUUR0000SA0,CPI_AllItems,2002,M05,May,179.8,0,1.2,5/1/02
CUUR0000SA0,CPI_AllItems,2002,M06,June,179.9,0.1,1.1,6/1/02
CUUR0000SA0,CPI_AllItems,2002,M07,July,180.1,0.1,1.5,7/1/02
CUUR0000SA0,CPI_AllItems,2002,M08,August,180.7,0.3,1.8,8/1/02
CUUR0000SA0,CPI_AllItems,2002,M09,September,181,0.2,1.5,9/1/02
CUUR0000SA0,CPI_AllItems,2002,M10,October,181.3,0.2,2,10/1/02
CUUR0000SA0,CPI_AllItems,2002,M11,November,181.3,0,2.2,11/1/02
CUUR0000SA0,CPI_AllItems,2002,M12,December,180.9,-0.2,2.4,12/1/02
CUUR0000SA0,CPI_AllItems,2003,M01,January,181.7,0.4,2.6,1/1/03
CUUR0000SA0,CPI_AllItems,2003,M02,February,183.1,0.8,3,2/1/03
CUUR0000SA0,CPI_AllItems,2003,M03,March,184.2,0.6,3,3/1/03
CUUR0000SA0,CPI_AllItems,2003,M04,April,183.8,-0.2,2.2,4/1/03
CUUR0000SA0,CPI_AllItems,2003,M05,May,183.5,-0.2,2.1,5/1/03
CUUR0000SA0,CPI_AllItems,2003,M06,June,183.7,0.1,2.1,6/1/03
CUUR0000SA0,CPI_AllItems,2003,M07,July,183.9,0.1,2.1,7/1/03
CUUR0000SA0,CPI_AllItems,2003,M08,August,184.6,0.4,2.2,8/1/03
CUUR0000SA0,CPI_AllItems,2003,M09,September,185.2,0.3,2.3,9/1/03
CUUR0000SA0,CPI_AllItems,2003,M10,October,185,-0.1,2,10/1/03
CUUR0000SA0,CPI_AllItems,2003,M11,November,184.5,-0.3,1.8,11/1/03
CUUR0000SA0,CPI_AllItems,2003,M12,December,184.3,-0.1,1.9,12/1/03
CUUR0000SA0,CPI_AllItems,2004,M01,January,185.2,0.5,1.9,1/1/04
CUUR0000SA0,CPI_AllItems,2004,M02,February,186.2,0.5,1.7,2/1/04
CUUR0000SA0,CPI_AllItems,2004,M03,March,187.4,0.6,1.7,3/1/04
CUUR0000SA0,CPI_AllItems,2004,M04,April,188,0.3,2.3,4/1/04
CUUR0000SA0,CPI_AllItems,2004,M05,May,189.1,0.6,3.1,5/1/04
CUUR0000SA0,CPI_AllItems,2004,M06,June,189.7,0.3,3.3,6/1/04
CUUR0000SA0,CPI_AllItems,2004,M07,July,189.4,-0.2,3,7/1/04
CUUR0000SA0,CPI_AllItems,2004,M08,August,189.5,0.1,2.7,8/1/04
CUUR0000SA0,CPI_AllItems,2004,M09,September,189.9,0.2,2.5,9/1/04
CUUR0000SA0,CPI_AllItems,2004,M10,October,190.9,0.5,3.2,10/1/04
CUUR0000SA0,CPI_AllItems,2004,M11,November,191,0.1,3.5,11/1/04
CUUR0000SA0,CPI_AllItems,2004,M12,December,190.3,-0.4,3.3,12/1/04
CUUR0000SA0,CPI_AllItems,2005,M01,January,190.7,0.2,3,1/1/05
CUUR0000SA0,CPI_AllItems,2005,M02,February,191.8,0.6,3,2/1/05
CUUR0000SA0,CPI_AllItems,2005,M03,March,193.3,0.8,3.1,3/1/05
CUUR0000SA0,CPI_AllItems,2005,M04,April,194.6,0.7,3.5,4/1/05
CUUR0000SA0,CPI_AllItems,2005,M05,May,194.4,-0.1,2.8,5/1/05
CUUR0000SA0,CPI_AllItems,2005,M06,June,194.5,0.1,2.5,6/1/05
CUUR0000SA0,CPI_AllItems,2005,M07,July,195.4,0.5,3.2,7/1/05
CUUR0000SA0,CPI_AllItems,2005,M08,August,196.4,0.5,3.6,8/1/05
CUUR0000SA0,CPI_AllItems,2005,M09,September,198.8,1.2,4.7,9/1/05
CUUR0000SA0,CPI_AllItems,2005,M10,October,199.2,0.2,4.3,10/1/05
CUUR0000SA0,CPI_AllItems,2005,M11,November,197.6,-0.8,3.5,11/1/05
CUUR0000SA0,CPI_AllItems,2005,M12,December,196.8,-0.4,3.4,12/1/05
