Title1,Textbox33
Visitation By State and by Park for Calendar Year: 2023,This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in Calendar Year 2023 and displays the percent change from the previous year.

State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"72,725",7.31%,"17,741",5.70%,0,,"212,892",5.69%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,287,291",-0.59%,"326,800",4.95%,"657,665",,"3,921,623",4.95%,"657,665",,0,,0,,0,,0,,0,,0,,0,,"325,498,650",4.33%,"117,506,879",3.76%,"171,399,946",,"1,410,084,800",3.76%,"90,383,663",,"2,870,496",,"1,307,095",,"3,162,286",,"2,566,383",,"1,794,439",,"42,729",,"1,323,551",
Alabama,Little River Canyon NPRES,"700,638",-3.53%,"145,227",6.35%,0,,"1,742,726",6.35%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,287,291",-0.59%,"326,800",4.95%,"657,665",,"3,921,623",4.95%,"657,665",,0,,0,,0,,0,,0,,0,,0,,"325,498,650",4.33%,"117,506,879",3.76%,"171,399,946",,"1,410,084,800",3.76%,"90,383,663",,"2,870,496",,"1,307,095",,"3,162,286",,"2,566,383",,"1,794,439",,"42,729",,"1,323,551",
Alabama,Natchez Trace PKWY,"474,939",3.69%,"159,716",3.66%,"657,665",10.49%,"1,916,595",3.66%,"657,665",10.49%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,287,291",-0.59%,"326,800",4.95%,"657,665",,"3,921,623",4.95%,"657,665",,0,,0,,0,,0,,0,,0,,0,,"325,498,650",4.33%,"117,506,879",3.76%,"171,399,946",,"1,410,084,800",3.76%,"90,383,663",,"2,870,496",,"1,307,095",,"3,162,286",,"2,566,383",,"1,794,439",,"42,729",,"1,323,551",
Alabama,Russell Cave NM,"8,678",-48.92%,875,-43.87%,0,,"10,508",-43.84%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,287,291",-0.59%,"326,800",4.95%,"657,665",,"3,921,623",4.95%,"657,665",,0,,0,,0,,0,,0,,0,,0,,"325,498,650",4.33%,"117,506,879",3.76%,"171,399,946",,"1,410,084,800",3.76%,"90,383,663",,"2,870,496",,"1,307,095",,"3,162,286",,"2,566,383",,"1,794,439",,"42,729",,"1,323,551",
Alabama,Tuskegee Airmen NHS,"22,082",36.84%,"2,760",36.90%,0,,"33,123",36.86%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,287,291",-0.59%,"326,800",4.95%,"657,665",,"3,921,623",4.95%,"657,665",,0,,0,,0,,0,,0,,0,,0,,"325,498,650",4.33%,"117,506,879",3.76%,"171,399,946",,"1,410,084,800",3.76%,"90,383,663",,"2,870,496",,"1,307,095",,"3,162,286",,"2,566,383",,"1,794,439",,"42,729",,"1,323,551",
Alabama,Tuskegee Institute NHS,"8,229",-15.76%,481,18.18%,0,,"5,779",18.33%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,287,291",-0.59%,"326,800",4.95%,"657,665",,"3,921,623",4.95%,"657,665",,0,,0,,0,,0,,0,,0,,0,,"325,498,650",4.33%,"117,506,879",3.76%,"171,399,946",,"1,410,084,800",3.76%,"90,383,663",,"2,870,496",,"1,307,095",,"3,162,286",,"2,566,383",,"1,794,439",,"42,729",,"1,323,551",
Alaska,Alagnak Wild River,231,25.54%,356,-65.90%,90,32.35%,"4,277",-65.86%,"1,148",-79.24%,0,,0,,0,,0,,133,-76.33%,28,,0,-88.93%,Subtotal Alaska,"3,254,809",60.82%,"2,227,739",40.53%,"883,184",-6.01%,"26,732,965",40.53%,"1,134,300",-2.66%,"17,301",,"20,069",,"7,529",,0,,"70,701",-6.12%,"28,091",,"42,830",-2.46%,"325,498,650",4.33%,"117,506,879",3.76%,"171,399,946",,"1,410,084,800",3.76%,"90,383,663",,"2,870,496",,"1,307,095",,"3,162,286",,"2,566,383",,"1,794,439",,"42,729",,"1,323,551",
Alaska,Aniakchak NM & PRES,199,11.17%,612,-23.69%,112,43.59%,"7,353",-23.67%,"14,484",13.81%,0,,0,,0,,0,,298,-28.88%,685,,0,12.48%,Subtotal Alaska,"3,254,809",60.82%,"2,227,739",40.53%,"883,184",-6.01%,"26,732,965",40.53%,"1,134,300",-2.66%,"17,301",,"20,069",,"7,529",,0,,"70,701",-6.12%,"28,091",,"42,830",-2.46%,"325,498,650",4.33%,"117,506,879",3.76%,"171,399,946",,"1,410,084,800",3.76%,"90,383,663",,"2,870,496",,"1,307,095",,"3,162,286",,"2,566,383",,"1,794,439",,"42,729",,"1,323,551",
Alaska,Bering Land Bridge NPRES,"2,642",0.00%,"2,906",0.00%,"1,128",0.18%,"34,878",0.00%,"20,592",-0.16%,0,,0,,0,,0,,"1,123",0.00%,482,,0,-0.41%,Subtotal Alaska,"3,254,809",60.82%,"2,227,739",40.53%,"883,184",-6.01%,"26,732,965",40.53%,"1,134,300",-2.66%,"17,301",,"20,069",,"7,529",,0,,"70,701",-6.12%,"28,091",,"42,830",-2.46%,"325,498,650",4.33%,"117,506,879",3.76%,"171,399,946",,"1,410,084,800",3.76%,"90,383,663",,"2,870,496",,"1,307,095",,"3,162,286",,"2,566,383",,"1,794,439",,"42,729",,"1,323,551",
Alaska,Cape Krusenstern NM,"17,820",2.40%,"16,354",-1.51%,"7,825",0.32%,"196,258",-1.50%,"206,600",-1.34%,0,,0,,0,,0,,"6,075",-2.41%,"6,000",,0,-2.04%,Subtotal Alaska,"3,254,809",60.82%,"2,227,739",40.53%,"883,184",-6.01%,"26,732,965",40.53%,"1,134,300",-2.66%,"17,301",,"20,069",,"7,529",,0,,"70,701",-6.12%,"28,091",,"42,830",-2.46%,"325,498,650",4.33%,"117,506,879",3.76%,"171,399,946",,"1,410,084,800",3.76%,"90,383,663",,"2,870,496",,"1,307,095",,"3,162,286",,"2,566,383",,"1,794,439",,"42,729",,"1,323,551",
Alaska,Denali NP & PRES,"498,722",16.64%,"498,758",11.85%,"847,073",-6.25%,"5,985,104",11.85%,"211,768",-6.25%,0,,"20,069",0.97%,0,,0,,"29,720",-10.84%,0,,0,,Subtotal Alaska,"3,254,809",60.82%,"2,227,739",40.53%,"883,184",-6.01%,"26,732,965",40.53%,"1,134,300",-2.66%,"17,301",,"20,069",,"7,529",,0,,"70,701",-6.12%,"28,091",,"42,830",-2.46%,"325,498,650",4.33%,"117,506,879",3.76%,"171,399,946",,"1,410,084,800",3.76%,"90,383,663",,"2,870,496",,"1,307,095",,"3,162,286",,"2,566,383",,"1,794,439",,"42,729",,"1,323,551",
