Title1,Textbox33
Visitation By State and by Park for Fiscal Year: 2019,This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in Fiscal Year 2019 and displays the percent change from the previous year.

State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"43,997",-21.94%,"10,851",-0.24%,"260,822",-74.32%,"130,217",-0.24%,"86,932",-74.32%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,151,223",13.02%,"297,199",7.16%,"901,225",-44.90%,"3,566,431",7.16%,"727,335",-24.10%,0,,0,,0,,0,,0,,0,,0,,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alabama,Little River Canyon NPRES,"586,600",36.65%,"127,777",22.78%,0,,"1,533,334",22.78%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,151,223",13.02%,"297,199",7.16%,"901,225",-44.90%,"3,566,431",7.16%,"727,335",-24.10%,0,,0,,0,,0,,0,,0,,0,,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alabama,Natchez Trace PKWY,"439,984",-1.62%,"147,594",-1.66%,"640,403",3.33%,"1,771,135",-1.66%,"640,403",3.33%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,151,223",13.02%,"297,199",7.16%,"901,225",-44.90%,"3,566,431",7.16%,"727,335",-24.10%,0,,0,,0,,0,,0,,0,,0,,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alabama,Russell Cave NM,"16,869",-27.45%,"2,418",-24.56%,0,,"29,023",-24.54%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,151,223",13.02%,"297,199",7.16%,"901,225",-44.90%,"3,566,431",7.16%,"727,335",-24.10%,0,,0,,0,,0,,0,,0,,0,,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alabama,Tuskegee Airmen NHS,"27,575",-2.14%,"3,446",-2.16%,0,,"41,363",-2.14%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,151,223",13.02%,"297,199",7.16%,"901,225",-44.90%,"3,566,431",7.16%,"727,335",-24.10%,0,,0,,0,,0,,0,,0,,0,,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alabama,Tuskegee Institute NHS,"36,198",5.38%,"5,113",-8.47%,0,,"61,359",-8.46%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,151,223",13.02%,"297,199",7.16%,"901,225",-44.90%,"3,566,431",7.16%,"727,335",-24.10%,0,,0,,0,,0,,0,,0,,0,,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alaska,Aniakchak NM & PRES,100,0.00%,460,-2.13%,0,,"5,520",-2.13%,0,,0,,0,,0,,0,,230,-2.13%,0,,0,,Subtotal Alaska,"3,210,201",9.93%,"2,108,321",4.03%,"813,337",,"25,299,915",4.03%,"470,120",,"18,676",,"26,382",,"6,147",,0,,"64,580",-13.85%,"18,607",,"14,968",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alaska,Bering Land Bridge NPRES,"2,642",0.00%,660,0.00%,"1,128",0.00%,"7,926",0.00%,"9,024",0.00%,0,,0,,0,,0,,"1,123",0.00%,482,,0,33.89%,Subtotal Alaska,"3,210,201",9.93%,"2,108,321",4.03%,"813,337",,"25,299,915",4.03%,"470,120",,"18,676",,"26,382",,"6,147",,0,,"64,580",-13.85%,"18,607",,"14,968",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alaska,Cape Krusenstern NM,"16,036",8.28%,"3,782",17.86%,"7,800",1.30%,"45,388",17.86%,"62,400",1.30%,0,,0,,0,,0,,"6,425",1.98%,"4,375",,0,-24.57%,Subtotal Alaska,"3,210,201",9.93%,"2,108,321",4.03%,"813,337",,"25,299,915",4.03%,"470,120",,"18,676",,"26,382",,"6,147",,0,,"64,580",-13.85%,"18,607",,"14,968",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alaska,Denali NP & PRES,"599,073",0.99%,"551,044",1.32%,"787,826",0.48%,"6,612,529",1.32%,"196,956",0.48%,0,,"26,382",-4.37%,0,,0,,"26,213",10.47%,0,,0,,Subtotal Alaska,"3,210,201",9.93%,"2,108,321",4.03%,"813,337",,"25,299,915",4.03%,"470,120",,"18,676",,"26,382",,"6,147",,0,,"64,580",-13.85%,"18,607",,"14,968",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alaska,Gates of the Arctic NP & PRES,"10,519",9.92%,"8,530",-44.89%,0,,"102,366",-44.89%,0,,0,,0,,0,,0,,"4,058",-46.33%,0,,0,,Subtotal Alaska,"3,210,201",9.93%,"2,108,321",4.03%,"813,337",,"25,299,915",4.03%,"470,120",,"18,676",,"26,382",,"6,147",,0,,"64,580",-13.85%,"18,607",,"14,968",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alaska,Glacier Bay NP & PRES,"668,226",11.51%,"709,829",10.32%,383,-42.32%,"8,517,950",10.32%,"72,140",-22.91%,"14,408",15.49%,0,,744,-4.98%,0,,"4,284",-27.19%,"2,950",-15.28%,"14,968",-21.85%,Subtotal Alaska,"3,210,201",9.93%,"2,108,321",4.03%,"813,337",,"25,299,915",4.03%,"470,120",,"18,676",,"26,382",,"6,147",,0,,"64,580",-13.85%,"18,607",,"14,968",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alaska,Katmai NP & PRES,"84,167",122.56%,"21,349",9.82%,0,,"256,193",9.82%,0,,"4,268",1.23%,0,,"2,537",20.92%,0,,458,-5.18%,0,,0,,Subtotal Alaska,"3,210,201",9.93%,"2,108,321",4.03%,"813,337",,"25,299,915",4.03%,"470,120",,"18,676",,"26,382",,"6,147",,0,,"64,580",-13.85%,"18,607",,"14,968",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alaska,Kenai Fjords NP,"355,672",10.08%,"97,813",5.99%,0,,"1,173,766",5.99%,0,,0,,0,,"1,076",-0.37%,0,,552,-20.00%,0,,0,,Subtotal Alaska,"3,210,201",9.93%,"2,108,321",4.03%,"813,337",,"25,299,915",4.03%,"470,120",,"18,676",,"26,382",,"6,147",,0,,"64,580",-13.85%,"18,607",,"14,968",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alaska,Klondike Gold Rush NHP Alaska,"1,116,825",9.87%,"383,200",10.07%,0,,"4,598,408",10.07%,0,,0,,0,,"1,790",36.12%,0,,"5,821",5.68%,0,,0,,Subtotal Alaska,"3,210,201",9.93%,"2,108,321",4.03%,"813,337",,"25,299,915",4.03%,"470,120",,"18,676",,"26,382",,"6,147",,0,,"64,580",-13.85%,"18,607",,"14,968",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alaska,Kobuk Valley NP,"15,576",6.25%,"4,852",16.33%,"7,750",0.00%,"58,224",16.31%,"62,000",0.00%,0,,0,,0,,0,,"7,050",0.00%,"5,350",,0,-24.65%,Subtotal Alaska,"3,210,201",9.93%,"2,108,321",4.03%,"813,337",,"25,299,915",4.03%,"470,120",,"18,676",,"26,382",,"6,147",,0,,"64,580",-13.85%,"18,607",,"14,968",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alaska,Lake Clark NP & PRES,"17,647",19.59%,"4,338",-72.29%,0,,"52,058",-72.29%,0,,0,,0,,0,,0,,762,-89.41%,0,,0,,Subtotal Alaska,"3,210,201",9.93%,"2,108,321",4.03%,"813,337",,"25,299,915",4.03%,"470,120",,"18,676",,"26,382",,"6,147",,0,,"64,580",-13.85%,"18,607",,"14,968",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alaska,Noatak NPRES,"17,026",5.69%,"21,001",18.12%,"8,450",0.00%,"252,016",18.12%,"67,600",0.00%,0,,0,,0,,0,,"5,650",0.89%,"4,750",,0,-17.39%,Subtotal Alaska,"3,210,201",9.93%,"2,108,321",4.03%,"813,337",,"25,299,915",4.03%,"470,120",,"18,676",,"26,382",,"6,147",,0,,"64,580",-13.85%,"18,607",,"14,968",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
Alaska,Sitka NHP,"231,017",17.20%,"11,711",16.70%,0,,"140,536",16.70%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alaska,"3,210,201",9.93%,"2,108,321",4.03%,"813,337",,"25,299,915",4.03%,"470,120",,"18,676",,"26,382",,"6,147",,0,,"64,580",-13.85%,"18,607",,"14,968",,"323,265,920",0.63%,"117,813,378",0.36%,"168,429,137",,"1,413,762,714",0.36%,"92,171,932",,"3,181,747",,"1,219,465",,"3,470,299",,"2,422,533",,"1,924,534",,"30,131",,"1,370,639",
