Title1,Textbox33
Visitation By State and by Park for Fiscal Year: 2017,This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in Fiscal Year 2017.  This was the first year of available data for this report so the percent change from the previous year column is not displayed.

State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"79,365",21.75%,"16,160",18.24%,"1,131,026",38.32%,"193,926",18.24%,"376,971",38.32%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,002,048",22.88%,"258,333",15.06%,"1,709,627",45.48%,"3,100,038",15.06%,"955,572",51.67%,0,,0,,0,,0,,0,,0,,0,,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alabama,Little River Canyon NPRES,"397,913",3.38%,"82,901",-14.62%,0,,"994,822",-14.62%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,002,048",22.88%,"258,333",15.06%,"1,709,627",45.48%,"3,100,038",15.06%,"955,572",51.67%,0,,0,,0,,0,,0,,0,,0,,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alabama,Natchez Trace PKWY,"438,724",39.64%,"147,295",39.66%,"578,601",61.84%,"1,767,549",39.66%,"578,601",61.84%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,002,048",22.88%,"258,333",15.06%,"1,709,627",45.48%,"3,100,038",15.06%,"955,572",51.67%,0,,0,,0,,0,,0,,0,,0,,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alabama,Russell Cave NM,"25,948",21.52%,"3,519",21.18%,0,,"42,233",21.18%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,002,048",22.88%,"258,333",15.06%,"1,709,627",45.48%,"3,100,038",15.06%,"955,572",51.67%,0,,0,,0,,0,,0,,0,,0,,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alabama,Tuskegee Airmen NHS,"41,199",72.58%,"5,149",72.55%,0,,"61,795",72.56%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,002,048",22.88%,"258,333",15.06%,"1,709,627",45.48%,"3,100,038",15.06%,"955,572",51.67%,0,,0,,0,,0,,0,,0,,0,,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alabama,Tuskegee Institute NHS,"18,899",214.67%,"3,309",38.16%,0,,"39,713",38.17%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,002,048",22.88%,"258,333",15.06%,"1,709,627",45.48%,"3,100,038",15.06%,"955,572",51.67%,0,,0,,0,,0,,0,,0,,0,,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alaska,Aniakchak NM & PRES,100,0.00%,470,0.00%,0,,"5,640",0.00%,0,,0,,0,,0,,0,,235,0.00%,0,,0,,Subtotal Alaska,"2,788,738",1.87%,"2,034,624",0.73%,"818,519",,"24,415,560",0.73%,"494,165",,"16,568",,"27,248",,"6,824",,0,,"81,647",-12.17%,"22,915",,"13,267",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alaska,Bering Land Bridge NPRES,"2,642",41.28%,660,41.33%,"1,128",37.56%,"7,926",41.28%,"9,024",37.56%,0,,0,,0,,0,,"1,123",33.37%,360,,0,37.40%,Subtotal Alaska,"2,788,738",1.87%,"2,034,624",0.73%,"818,519",,"24,415,560",0.73%,"494,165",,"16,568",,"27,248",,"6,824",,0,,"81,647",-12.17%,"22,915",,"13,267",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alaska,Cape Krusenstern NM,"15,000",57.89%,"3,116",58.49%,"7,500",57.89%,"37,400",58.47%,"60,000",57.89%,0,,0,,0,,0,,"6,375",61.39%,"5,525",,0,63.70%,Subtotal Alaska,"2,788,738",1.87%,"2,034,624",0.73%,"818,519",,"24,415,560",0.73%,"494,165",,"16,568",,"27,248",,"6,824",,0,,"81,647",-12.17%,"22,915",,"13,267",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
Alaska,Denali NP & PRES,"643,855",10.72%,"705,850",5.01%,"793,286",5.99%,"8,470,201",5.00%,"198,321",5.99%,0,,"27,248",,0,-100.00%,0,-100.00%,"32,903",-33.23%,0,,0,,Subtotal Alaska,"2,788,738",1.87%,"2,034,624",0.73%,"818,519",,"24,415,560",0.73%,"494,165",,"16,568",,"27,248",,"6,824",,0,,"81,647",-12.17%,"22,915",,"13,267",,"333,127,268",26.51%,"120,645,227",21.65%,"169,322,538",,"1,447,744,990",21.65%,"92,453,529",,"3,434,745",,"1,455,495",,"3,722,826",,"2,448,986",,"2,082,401",,"37,826",,"1,634,463",
