Rank,Park Name,State(s),Latitude,Longitude,Designation
1,Acadia National Park,ME,44.409286,-68.247501,National Park
2,Arches National Park,UT,38.72261844,-109.5863666,National Park
3,Badlands National Park,SD,43.68584846,-102.482942,National Park
4,Big Bend National Park,TX,29.29817767,-103.2297897,National Park
5,Biscayne National Park,FL,25.490587,-80.21023851,National Park
6,Black Canyon Of The Gunnison National Park,CO,38.57779869,-107.7242756,National Park
7,Bryce Canyon National Park,UT,37.58399144,-112.1826689,National Park
8,Canyonlands National Park,UT,38.24555783,-109.8801624,National Park
9,Capitol Reef National Park,UT,38.28216531,-111.2470484,National Park
10,Carlsbad Caverns National Park,NM,32.14089463,-104.5529688,National Park
11,Channel Islands National Park,CA,33.98680093,-119.9112735,National Park
12,Congaree National Park,SC,33.79187523,-80.74867805,National Park
13,Crater Lake National Park,OR,42.94065854,-122.1338414,National Park
14,Cuyahoga Valley National Park,OH,41.26093905,-81.57116722,National Park
15,Death Valley National Park,"CA,NV",36.48753731,-117.134395,National Park
16,Denali National Park & Preserve,AK,63.29777484,-151.0526568,National Park & Preserve
17,Dry Tortugas National Park,FL,24.628741,-82.87319,National Park
18,Everglades National Park,FL,25.37294225,-80.88200301,National Park
19,Gates Of The Arctic National Park & Preserve,AK,67.75961636,-153.2917758,National Park & Preserve
20,Gateway Arch National Park,MO,38.6258069,-90.1892508,National Park
21,Glacier Bay National Park & Preserve,AK,58.80086718,-136.8407579,National Park & Preserve
22,Glacier National Park,MT,48.68414678,-113.8009306,National Park
23,Grand Canyon National Park,AZ,36.00011653,-112.1215164,National Park
24,Grand Teton National Park,WY,43.81853565,-110.7054666,National Park
25,Great Basin National Park,NV,38.94617378,-114.2579782,National Park
26,Great Sand Dunes National Park & Preserve,CO,37.79256812,-105.5919572,National Park & Preserve
27,Great Smoky Mountains National Park,"NC,TN",35.60116374,-83.50818326,National Park
28,Guadalupe Mountains National Park,TX,31.92304462,-104.885527,National Park
29,Haleakalā National Park,HI,20.70693015,-156.1591775,National Park
30,Hawaiʻi Volcanoes National Park,HI,19.3355036,-155.4700257,National Park
31,Hot Springs National Park,AR,34.52414366,-93.06332936,National Park
32,Indiana Dunes National Park,IN,41.63765525,-87.09647445,National Park
33,Isle Royale National Park,MI,48.01145819,-88.82780657,National Park
34,Joshua Tree National Park,CA,33.91418525,-115.8398125,National Park
35,Katmai National Park & Preserve,AK,58.62235668,-155.0126574,National Park & Preserve
36,Kenai Fjords National Park,AK,59.81804414,-150.106502,National Park
37,Kobuk Valley National Park,AK,67.35631336,-159.2002293,National Park
38,Lake Clark National Park & Preserve,AK,60.57405857,-153.55535,National Park & Preserve
39,Lassen Volcanic National Park,CA,40.49354575,-121.4075993,National Park
40,Mammoth Cave National Park,KY,37.19760458,-86.13090198,National Park
41,Mesa Verde National Park,CO,37.23908345,-108.4624032,National Park
42,Mount Rainier National Park,WA,46.86075416,-121.7043885,National Park
43,National Park of American Samoa,AS,-14.22865935,-169.8503777,
44,New River Gorge National Park & Preserve,WV,37.86878554,-80.99956002,National Park & Preserve
45,North Cascades National Park,WA,48.71171756,-121.2069423,National Park
46,Olympic National Park,WA,47.80392754,-123.6663848,National Park
47,Petrified Forest National Park,AZ,34.98387664,-109.7877678,National Park
48,Pinnacles National Park,CA,36.49029208,-121.1813607,National Park
49,Redwood National and State Parks,CA,41.37237268,-124.0318129,National and State Parks
50,Rocky Mountain National Park,CO,40.3556924,-105.6972879,National Park
51,Saguaro National Park,AZ,32.20909636,-110.7574974,National Park
52,Sequoia National Park,CA,36.71277299,-118.587429,National Parks
53,Kings Canyon National Park,CA,36.71277299,-118.587429,National Parks
54,Shenandoah National Park,VA,38.49236644,-78.46907715,National Park
55,Theodore Roosevelt National Park,ND,47.17777274,-103.4300083,National Park
56,Virgin Islands National Park,VI,18.34279656,-64.74194451,National Park
57,Voyageurs National Park,MN,48.48370609,-92.8382913,National Park
58,White Sands National Park,NM,32.77907858,-106.3333461,National Park
59,Wind Cave National Park,SD,43.58012365,-103.4394709,National Park
60,Wrangell - St Elias National Park & Preserve,AK,61.4182147,-142.6028439,National Park & Preserve
61,Yellowstone National Park,"ID,MT,WY",44.59824417,-110.5471695,National Park
62,Yosemite National Park,CA,37.84883288,-119.5571873,National Park
63,Zion National Park,UT,37.29839254,-113.0265138,National Park
