Date,Close,Index,Month,Returns (%)
1985-02-01,181.17999267578125,S&P 500,February,0.8628779996860514
1985-03-01,180.66000366210938,S&P 500,March,-0.28700134379759934
1985-04-01,179.8300018310547,S&P 500,April,-0.4594275513284285
1985-05-01,189.5500030517578,S&P 500,May,5.405105444993996
1985-06-01,191.85000610351562,S&P 500,June,1.2134017487352766
1985-07-01,190.9199981689453,S&P 500,July,-0.48475783423665986
1985-08-01,188.6300048828125,S&P 500,August,-1.1994517641396585
1985-09-01,182.0800018310547,S&P 500,September,-3.472407826012114
1985-10-01,189.82000732421875,S&P 500,October,4.250881708769816
1985-11-01,202.1699981689453,S&P 500,November,6.506158659888994
1985-12-01,211.27999877929688,S&P 500,December,4.506109063095853
1986-01-01,211.77999877929688,S&P 500,January,0.23665278440403448
1986-02-01,226.9199981689453,S&P 500,February,7.148927885973944
1986-03-01,238.89999389648438,S&P 500,March,5.279391778691878
1986-04-01,235.52000427246094,S&P 500,April,-1.4148136083619978
1986-05-01,247.35000610351562,S&P 500,May,5.022928675463656
1986-06-01,250.83999633789062,S&P 500,June,1.4109521521153523
1986-07-01,236.1199951171875,S&P 500,July,-5.868283142882347
1986-08-01,252.92999267578125,S&P 500,August,7.119260505765657
1986-09-01,231.32000732421875,S&P 500,September,-8.54386034765885
1986-10-01,243.97999572753906,S&P 500,October,5.47293273494327
1986-11-01,249.22000122070312,S&P 500,November,2.147719315076868
1986-12-01,242.1699981689453,S&P 500,December,-2.828827147590973
1987-01-01,274.0799865722656,S&P 500,January,13.176689368870086
1987-02-01,284.20001220703125,S&P 500,February,3.6923621317010324
1987-03-01,291.70001220703125,S&P 500,March,2.638986515783981
1987-04-01,288.3599853515625,S&P 500,April,-1.1450211572491154
1987-05-01,290.1000061035156,S&P 500,May,0.6034196283620119
1987-06-01,304.0,S&P 500,June,4.791449018971927
1987-07-01,318.6600036621094,S&P 500,July,4.8223696256938675
1987-08-01,329.79998779296875,S&P 500,August,3.4958840151999793
1987-09-01,321.8299865722656,S&P 500,September,-2.41661659057012
1987-10-01,251.7899932861328,S&P 500,October,-21.763041421998008
1987-11-01,230.3000030517578,S&P 500,November,-8.53488653536516
1987-12-01,247.0800018310547,S&P 500,December,7.286147875354443
1988-01-01,257.07000732421875,S&P 500,January,4.043227059709542
1988-02-01,267.82000732421875,S&P 500,February,4.181740262854561
1988-03-01,258.8900146484375,S&P 500,March,-3.334326201018556
1988-04-01,261.3299865722656,S&P 500,April,0.9424743272317793
1988-05-01,262.1600036621094,S&P 500,May,0.3176126477985486
1988-06-01,273.5,S&P 500,June,4.325601228060116
1988-07-01,272.0199890136719,S&P 500,July,-0.5411374721492224
1988-08-01,261.5199890136719,S&P 500,August,-3.860010449258666
1988-09-01,271.9100036621094,S&P 500,September,3.972933268934309
1988-10-01,278.9700012207031,S&P 500,October,2.59644642106176
1988-11-01,273.70001220703125,S&P 500,November,-1.8890880706211144
1988-12-01,277.7200012207031,S&P 500,December,1.4687573381001906
1989-01-01,297.4700012207031,S&P 500,January,7.111479156412925
1989-02-01,288.8599853515625,S&P 500,February,-2.894414843113058
1989-03-01,294.8699951171875,S&P 500,March,2.0805961609083434
1989-04-01,309.6400146484375,S&P 500,April,5.008993717851862
1989-05-01,320.5199890136719,S&P 500,May,3.5137494672926595
1989-06-01,317.9800109863281,S&P 500,June,-0.7924554206930945
1989-07-01,346.0799865722656,S&P 500,July,8.837025792525587
1989-08-01,351.45001220703125,S&P 500,August,1.551671822445666
1989-09-01,349.1499938964844,S&P 500,September,-0.6544368276168888
1989-10-01,340.3599853515625,S&P 500,October,-2.517545094824758
1989-11-01,345.989990234375,S&P 500,November,1.6541324259951473
1989-12-01,353.3999938964844,S&P 500,December,2.1416815142801804
1990-01-01,329.0799865722656,S&P 500,January,-6.881722621461728
1990-02-01,331.8900146484375,S&P 500,February,0.8539042758088922
1990-03-01,339.94000244140625,S&P 500,March,2.4254986404143253
1990-04-01,330.79998779296875,S&P 500,April,-2.688714062127162
1990-05-01,361.2300109863281,S&P 500,May,9.198919079889457
1990-06-01,358.0199890136719,S&P 500,June,-0.8886365681221697
1990-07-01,356.1499938964844,S&P 500,July,-0.5223158411739148
1990-08-01,322.55999755859375,S&P 500,August,-9.431418479162911
1990-09-01,306.04998779296875,S&P 500,September,-5.1184306456431905
1990-10-01,304.0,S&P 500,October,-0.6698212301042394
1990-11-01,322.2200012207031,S&P 500,November,5.993421454178649
